Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
Gm38017,Y,24315448,24316142
Gm9142,7,32358928,32359882
Gm28951,Y,11681696,11708109
2610002M06Rik,X,107782751,107816334
Plekhd1,12,80692591,80724214
Gm37361,3,93100466,93100597
Gm28390,Y,11763935,11764634
Gm43059,5,31461022,31462409
AK010878,12,102753275,102757803
Gm13932,2,109791925,109792534
Prps1l1,12,34984761,34986436
Gm28862,7,32388244,32388406
Zfp512,5,31452431,31481754
Vmn2r25,6,123822814,123853190
Cspp1,1,10037987,10136768
Gm29496,Y,39078390,39079082
Bhlha9,11,76672470,76673676
Rpa3,6,8255936,8259173
Gm45252,8,31003908,31004304
Gale,4,135963727,135968178
Olfr752-ps1,17,23491331,23492471
Ppp1r2-ps2,6,90905819,90906453
Dnase2a,8,84908560,84922915
Rhobtb1,10,69151434,69291791
Gm37019,12,102589277,102591410
Gm44123,6,90689731,90690829
4930554H23Rik,7,63344690,63444529
Gm43856,5,104971695,104972063
Gm29497,Y,39158848,39162080
Gm28051,12,102719975,102757765
Rpl23a-ps11,7,32388481,32388943
Iqsec1,6,90656088,90988685
Abcg3,5,104935057,104982718
Lin7c,2,109890853,109901003
Itpk1,12,102568582,102704930
Fam46d,X,107792590,107872909
Crnn,3,93144787,93149819
Cyp2j11,4,96294508,96348662
9930021J03Rik,19,29714402,29805989
Casp16-ps,17,23550965,23553566
Fam69b,2,26628457,26636497
Gm28391,Y,11777111,11777489
Gm16794,9,95942045,95959393
Spo11,2,172977700,172993576
Gm28389,Y,11800542,11801238
Hus1b,13,30946573,30947759
Olfr1434,19,12279854,12285626
Tmem9,1,136008150,136035342
Gm28655,Y,12019193,12019884
Mzt2,16,15848441,15863369
Gm43075,3,97609932,97613836
Gm43786,16,8680770,8683911
Gm20803,Y,61945610,61947950
Tmem241,18,11964450,12121537
Gm28085,9,96027101,96040673
Cotl1,8,119809222,119840544
Gm7967,1,98589517,98607384
Gm7298,6,121732932,121789084
Gm28654,Y,12056605,12056983
Gm15323,13,112005502,112017332
Rps19-ps14,6,52131778,52132046
Mast1,8,84911903,84937359
Gm7389,8,3994626,3997509
Gm37427,13,112219193,112220481
Vmn2r-ps56,7,41744706,41772910
Coprs,8,13884794,13890281
Atr,9,95857597,95951781
Agpat2,2,26593057,26604417
Gm36991,13,94619280,94619927
Dytn,1,63622851,63686927
Platr8,2,109902396,109913319
Gm28657,Y,12175563,12176249
Sass6,3,116594982,116631004
Gm45048,8,4016454,4016882
Gm17421,12,113369522,113370727
Gm28656,Y,12211889,12212386
Gm9134,12,113381011,113381561
Iyd,10,3540240,3554877
Gm42805,5,140453418,140453891
Tm6sf2,8,70072924,70080066
Gm13784,5,114237176,114237925
Gm13554,2,26059010,26060275
Gm4869,5,140445645,140495071
Tusc5,11,76679808,76698664
Gm29554,Y,12273932,12306702
Gm20804,Y,62020383,62021078
Nacc2,2,26055535,26123220
Otp,13,94875602,94885130
Gm37947,15,61979241,61983302
Gm12880,4,121476810,121479450
Snx15,19,6119399,6128304
Gm28598,Y,62050034,62050648
Gm28373,12,102673017,102727333
Gm7397,8,4018992,4021471
Gm28599,Y,62086944,62087637
Gm20604,12,102741732,102758672
Gm5317,6,123886396,123887242
Gm12887,4,121614271,121622103
Gm28381,1,91469906,91470098
Gm28600,Y,62128751,62131989
Scgb1b29,7,32441541,32442722
Gm12748,1,63671468,63671971
Gm28382,1,91483024,91484774
Chst12,5,140505550,140525724
Vmn2r58,7,41836881,41872670
Gm42852,6,17747522,17748900
Gm7676,8,13896311,13896629
Gm21971,12,102719977,102727322
Gm26738,6,17834585,17835185
8030453O22Rik,6,39527513,39544486
Gm19085,1,91487729,91490009
Gm12878,4,121641446,121641777
Gm20069,12,102612680,102618516
Gm43533,6,17717578,17720513
Gm3591,14,6405827,6412482
Gm16399,3,14802356,14802574
Gm43844,6,17914996,17920600
Moap1,12,102742230,102743661
Gm13899,6,17711687,17712941
Dennd2a,6,39462378,39557867
Car1,3,14766216,14808368
Gm17966,1,176641897,176642558
Gm26630,14,6352044,6446960
Gm29578,Y,30943800,30946078
Stx17,4,48124915,48186507
Slc25a10,11,120491840,120499187
Trim29,9,43310848,43336115
Gm42808,5,140545486,140546392
Gm44823,6,123932293,123939493
A330044P14Rik,6,123934426,123982173
Gm32158,5,140546435,140546838
8430437L04Rik,2,72703510,72729468
Gm3594,14,6435796,6444611
Eftud2,11,102838473,102880985
Egfl7,2,26580014,26593120
Myc,15,61985391,61990374
Vmn2r-ps57,7,41937527,41980928
Cyp2j14-ps,4,96356311,96380211
Rpl21-ps12,6,90844981,90845460
Gm44105,6,90793896,90794475
Gm8340,14,6358497,6359687
Grifin,5,140563119,140565071
Gm16440,14,6380721,6390319
Olfr617,7,103573061,103586795
Lpin2,17,71182560,71249817
Fbln7,2,128862981,128897034
Gm17036,18,6213913,6227324
1700018G05Rik,X,102928372,102929094
Gm6104,1,4880049,4880651
Ccdc8,7,16992708,16997516
Kif5b,18,6201002,6242174
Gm12657,4,94599385,94599795
Gm14841,X,102979888,102980645
Gm37988,1,4807892,4886770
Vmn2r59,7,42011792,42058981
Plaa,4,94567514,94603244
Gm14837,X,102998040,102998245
Olfr618,7,103590103,103600448
Gm21998,X,103003724,103005031
Cct5,15,31590800,31601847
Tspan6,X,133891068,133898429
Tcea1,1,4857814,4897909
Pabpc1l2b-ps,X,103013698,103014387
Gm9143,X,103037624,103038368
Hmgb1-ps7,7,42020836,42021483
Gm30074,3,52172162,52179972
Gm9146,7,32473252,32474257
Gm14966,19,6355522,6363759
Pabpc1l2a-ps,X,103066668,103067180
Gm29460,1,98764841,98765554
Gm37170,3,52198248,52200489
Gm7224,7,42047948,42050212
Gm5276,3,57362388,57363434
Gm37202,3,52134047,52221997
Gm37501,3,93152178,93152868
Sgca,11,94962791,94976327
Gm38132,3,52186573,52187957
Gm3928,X,103075919,103077225
Gm18248,1,99638396,99640241
Gm15010,X,136701246,136701652
Gm17399,9,118150231,118170376
Gm12352,11,98438037,98439046
Fam122b,X,53243415,53269805
Mien1,11,98437708,98438991
2610509F24Rik,9,118402465,118403302
Gm5116,7,32495638,32496100
Olfr619,7,103600575,103608462
Hoxa1,6,52155590,52158317
Cyp2j8,4,96444596,96507386
Ubtfl1,9,18404418,18413177
Gm45573,11,70532232,70532939
Gm42893,3,116629173,116630984
Gm42940,3,116572063,116574424
Map4k2,19,6341135,6355615
Gm12155,11,44387115,44387274
Mrpl51,6,125191801,125196269
Lrrc39,3,116562973,116583134
Olfr620,7,103606874,103612534
Flg2,3,93197278,93221391
4930596D02Rik,14,35809488,35811978
Gm8895,12,103867846,103881511
Zc3h8,2,128926268,128944077
Hotairm1,6,52156902,52162119
Erbb2,11,98412470,98437716
Vmn2r26,6,124024758,124062035
Gm11788,11,120489406,120492394
Scgb2b13-ps,7,32507503,32509279
Lgr4,2,109917647,110014257
Gm9136,12,113396771,113397224
6430710C18Rik,2,72745846,72813717
Gm5190,12,113397229,113397585
Olfr73,2,88032288,88037699
Ncald,15,37366175,37792570
Clk1,1,58410189,58424066
Il12b,11,44400063,44414033
Gm45220,7,90201278,90203786
Gm5593,7,42105899,42107185
Vmn2r-ps33,6,124081698,124082601
Klhl36,8,119862266,119876995
Gm45024,7,109208301,109224200
Olfr1162,2,88049678,88051112
Fmo5,3,97628804,97655282
Platr11,9,118404097,118406099
Trmt13,3,116581093,116614587
RP23-272A7.3,9,118429836,118437048
Vmn2r60,7,42116471,42195776
Lypla1,1,4807788,4848410
Dusp26,8,31089471,31097047
Hils1,11,94967593,94968456
Picalm,7,90130213,90213465
Olfr621-ps1,7,103629021,103629958
Gm14028,2,128952972,128953450
Gm17076,2,97039912,97041312
Olfr1163,2,88069817,88071830
4930445B16Rik,2,96987018,97083561
4933427J07Rik,2,128955671,128957861
Gm2308,7,42125200,42126203
Vmn2r-ps34,6,124138733,124139636
Gm17075,2,96999624,97000293
Scgb1b13-ps,7,32517013,32517403
RP23-69L20.2,6,124145713,124173146
Gm9457,8,4812817,4813434
Olfr622,7,103638451,103642702
Lrrc4c,2,96318169,97631666
Olfr1164,2,88092855,88093966
Gm5327,7,32545759,32546767
Gm36468,Y,24352303,24352917
Mrto4,4,139347435,139352576
Samd8,14,21750531,21798725
Gm44961,8,4821035,4821230
Gm15528,13,75929465,75930328
Taz,X,74281912,74290151
Rhobtb3,13,75869537,75943925
Gm16368,12,88083697,88084131
Zc3h6,2,128967402,129018563
Cyp2j6,4,96516138,96553661
Gm5442,12,88085311,88087404
Prkce,17,86167785,86657919
Gm8587,12,88089134,88089976
Gm3307,7,63606019,63606650
Gosr1,11,76726602,76763579
Gm28530,9,98301650,98302226
Uggt1,1,36140027,36244720
Otud7a,7,63444751,63759028
Nmnat3,9,98287435,98420438
Mia2,12,59129720,59191583
E130304I02Rik,7,35802592,35838074
A930033H14Rik,10,69209762,69213098
Zfp507,7,35772343,35803003
Gm44487,6,125208367,125208691
Gm45123,7,44484517,44485413
Gm13263,2,10959127,10959964
Gm13803,2,97949191,97949679
Gm18971,5,108971677,108972050
Gm14027,2,129016952,129021756
Gm37343,2,11013808,11013918
Gm15935,14,21741543,21746632
Gm13804,2,98291403,98291574
Gm18595,5,108972797,108975895
Timm17b,X,7899357,7908351
Gm13264,2,11036873,11060129
B430119L08Rik,12,103895897,103898784
Gm13806,2,98601030,98601354
Serpina1c,12,103894926,103904887
Dusp13,14,21733394,21751181
Gm6293,19,5415565,5415759
Vmn2r10,5,108993412,109006471
Gm29235,2,99357246,99357729
Sdk2,11,113776374,114067046
Gm5898,7,63542479,63544549
Gm9002,10,117429618,117430116
Drap1,19,5422805,5424979
1700088E04Rik,15,79129349,79141253
Gm18432,3,93234920,93236467
Gm7761,1,22984863,22987125
RP24-257F22.3,9,118485559,118489099
Gm12892,4,122008193,122009338
Rinl,7,28788969,28798963
Gm5871,5,109016198,109016915
Olfr1165-ps,2,88101036,88101985
Gm12896,4,122122847,122123072
Eomes,9,118478212,118486132
Gm12897,4,122187748,122206656
Gm28616,5,132544435,132545593
Gm29556,Y,12330536,12331231
Gm12893,4,122234979,122235917
Vmn2r11,5,109046873,109059452
Gm38375,9,96028624,96030850
2810414N06Rik,1,151748949,151755018
1700065D16Rik,9,95855418,95858322
RP24-276H6.2,18,70432355,70433856
Olfr1166,2,88123360,88128272
Gm12895,4,122455210,122455435
Gm43855,5,104987237,104987743
Cntnap5b,1,99772765,100485942
9430018G01Rik,6,43467979,43474318
Gm43703,5,140605789,140606551
Gm42626,5,132546056,132550633
Cep162,9,87189577,87255536
Gm12874,4,122592984,122594068
Tpk1,6,43345001,43666278
Zfp493,13,67779754,67792512
Gm38373,5,132796153,132796440
Gm12877,4,122582700,122604894
Mfsd4b1,10,40001575,40025268
Gm42625,5,133443342,133444263
Gm5870,5,104989050,104989331
Gm438,4,144777204,144786583
Vmn2r12,5,109085849,109097864
Arrdc1,2,24925352,24935252
Gm28221,15,37367205,37368498
Traf3ip1,1,91494647,91529307
Gm43161,5,28577273,28578960
Gm13297,2,11090830,11091763
4930447A16Rik,15,37425554,37440644
Olfr1167,2,88146150,88155193
Shh,5,28456815,28467256
Prss16,13,22002176,22009742
Gm8055,10,40011866,40012873
RP23-345H24.4,10,40009555,40009936
Cyp26b1,6,84571414,84593908
Gm8668,15,37421248,37422694
Gm15940,15,37762832,37765401
Prdx2-rs3,4,144791837,144792660
C8g,2,25498651,25501719
2010106C02Rik,17,86285164,86287178
Gm15942,15,37700704,37720853
Hapln3,7,79115102,79131018
Gm15941,15,37421134,37433414
Kcnj5,9,32314707,32344350
Gm10290,5,28538570,28539568
Gm14370,X,5144852,5145719
9530036O11Rik,5,28458274,28933995
Gm9625,13,67810246,67811200
Gm14367,X,5148676,5150172
Zfp273,13,67813740,67827002
Fbxo2,4,148160621,148166424
Slc16a10,10,40033532,40142258
Nptx1,11,119538719,119547753
Gm37672,3,75619347,75623360
Gm3267,15,37492756,37493228
Gm34379,3,63905429,63905718
Serpini1,3,75557547,75643495
Gm14025,2,129025073,129048172
Gm29499,Y,39344545,39345030
Gm13294,2,11098933,11100262
Gm29498,Y,39411821,39414100
Gm14838,X,103083003,103083250
4930525G20Rik,13,67796594,67830985
E130311K13Rik,3,63914684,63929472
Gm14022,2,129060946,129065686
Gm6206,X,103163110,103165407
Gm21908,Y,31231982,31232677
Gm15550,6,43373805,43375552
Gm12128,11,37658989,37673166
Nlrc3,16,3945007,3976632
Gm12875,4,122640346,122648326
Gm16043,6,8420009,8443455
Gm16042,6,8595743,8596989
Gm21780,Y,31267477,31268004
Gm12876,4,122660923,122677278
Tm4sf4,3,57425314,57441677
4933415F23Rik,1,23100473,23102253
Umad1,6,8259288,8459470
Ttl,2,129065942,129096283
Gm28486,Y,31290381,31292742
Gm18598,7,23446299,23446895
Gm29506,1,23048295,23235673
Edem1,6,108828641,108859356
Gm18306,7,23447588,23448156
Gm10051,5,133475123,133475536
Gm17198,12,103918732,103926291
Vmn1r-ps84,7,23486375,23487297
Rae1,2,173000117,173015739
Igdcc4,9,65101486,65137940
Fbxo28,1,182313102,182341629
4930570D08Rik,X,133898699,133901213
Gm17979,5,133519757,133520722
4930481A15Rik,19,5406740,5422847
Gm21737,Y,31373417,31397818
Gm5612,9,18427543,18427917
Tmem183a,1,134346097,134361979
Emid1,11,5106265,5152257
Olfr1168,2,88181880,88186919
Mbd3l2,9,18430654,18446316
Mdh1b,1,63698819,63730318
Dhrs3,4,144892827,144928209
Phf11a,14,59276913,59297522
Emilin1,5,30913402,30921277
Gm42624,5,133534590,133598406
Gm29667,1,100282791,100283280
Fam76b,9,13827716,13854987
Gm37877,1,99847984,99850692
Gm37850,9,107762808,107763587
Olfr1169-ps1,2,88197464,88197696
Gm29668,1,100282329,100282643
Ighd,12,113406604,113416324
Gm45062,6,8259450,8597480
Gm7902,5,133841573,133842519
Gm19029,1,100006021,100006584
H2afy,13,56073619,56136361
Tdpx-ps1,1,99790429,99791025
Gm2404,5,133919159,133920002
Gm16055,6,8354056,8364136
Ppp1r2,16,31251537,31275277
Gm16016,3,57528232,57528781
Prrc2b,2,32151082,32234537
Nipsnap1,11,4873951,4894200
Gm43363,5,90397273,90399919
Wwtr1,3,57455649,57575910
Rpl21-ps14,8,4861169,4861651
Gm8428,6,8377596,8379379
Polr1b,2,129100995,129126594
Olfr1170,2,88222098,88228334
Rbm5,9,107740371,107770996
C330006A16Rik,2,26136814,26140521
A430035B10Rik,6,8488795,8510430
Fbxw5,2,25500750,25505471
4933406M09Rik,1,134385940,134390981
1700030N18Rik,5,134090486,134091451
1810012K08Rik,2,26138546,26139543
Tcrg-C3,13,19260884,19263528
Gm15627,5,134098412,134099208
Eif4e3,6,99625135,99666771
Olfr623,7,103657697,103663698
Pop7,5,137501438,137502518
Olfr1171-ps1,2,88252643,88258690
Vmn1r167,7,23504642,23505589
RP23-8O18.1,10,40164110,40169759
Gm21845,Y,24381817,24382512
Glcci1,6,8509600,8597548
Olfr624,7,103670103,103671029
Rbp1,9,98422961,98446575
Epo,5,137483020,137533242
Gm20696,6,99257484,99666797
Wdr41,13,94976344,95023314
Olfr625-ps1,7,103682720,103683685
Gm9105,7,109387478,109388875
Mug1,6,121838541,121889057
Olfr1435-ps1,19,12290058,12290306
Gm14365,X,5193483,5194069
Gm44104,6,99658442,99662218
Alb,5,90460897,90476602
Olfr626-ps1,7,103691800,103692117
Ybx2,11,69935796,69941605
1700113A16Rik,3,88171556,88177785
Stk33,7,109279223,109439081
Gm20490,2,173022503,173022956
Olfr1172-ps1,2,88264173,88264364
Gm5662,12,88270640,88274500
Gm26850,3,63963633,63968659
Rbm38,2,173020498,173034734
B430010I23Rik,8,41017468,41024216
Slc33a1,3,63933507,63964768
Gm16192,8,41039756,41042053
Mef2d,3,88142372,88172086
Olfr1398-ps1,3,52236865,52246945
Cd27,6,125232622,125237010
Gm11762,11,119548630,119569046
Foxp1,6,98925338,99522721
Mtus1,8,40990914,41133726
Elf4,X,48411046,48463132
Insr,8,3122061,3279617
Gm9149,7,32604815,32605821
Gm20402,3,52268435,52269435
Foxo1,3,52268336,52353221
Gigyf1,5,137518548,137527935
Gm14848,X,103299110,103299974
Gm14847,X,103236125,103236643
Gm14453,2,173025685,173034580
Nap1l2,X,103184176,103186640
RP24-366E11.4,10,40180657,40183692
Gm38034,3,52282241,52284309
Ctxn3,18,57468516,57478133
Gm8745,7,23526174,23526955
Gripap1,X,7789765,7820567
Gm9050,X,103227705,103228152
Gm11290,13,22014468,22015370
Gm19200,X,103287167,103288970
1700066O22Rik,18,57504422,57533752
4930519F16Rik,X,103182971,103311782
Gm11291,13,22016690,22018249
Gm20532,2,26586639,26635634
Efnb3,11,69554092,69560205
Ctcflos,2,173110818,173133204
Gm28487,Y,31448706,31451937
RP24-257F22.4,9,118571608,118572271
Vamp1,6,125215551,125245964
Gm28189,1,113289340,113290365
Gm20812,Y,12381981,12384008
Gm44519,7,42256295,42256416
Acsm2,7,119554340,119600690
1700011I03Rik,18,57533780,57731065
Golga4,9,118506267,118582519
Gm45049,8,4034157,4034747
Vmn2r27,6,124191596,124231784
Vmn2r-ps88,8,3139161,3139964
Snrnp25,11,32205415,32208984
Gm16180,8,3259704,3260641
Gm35108,Y,12418987,12419685
Ctcfl,2,173093609,173119525
Gm9428,X,5276735,5278427
Caprin2,6,148842492,148896237
Gm18195,7,23535569,23536274
Pcsk1n,X,7919822,7924410
Gm5924,X,5338792,5340451
Dhodh,8,109591343,109608673
Gm42939,3,101407793,101409997
Platr10,3,75647446,75655731
Lrch3,16,32914100,33015647
Gm17112,5,137532423,137540718
Gm42538,3,101424615,101426936
Dthd1,5,62813823,62888308
Gm28514,7,35838260,35839570
Tprg,16,25286817,25422344
9130604C24Rik,5,137502673,137503628
Gm42938,3,101411539,101412610
Gm732,X,107945735,107948465
Gm14369,X,5391640,5391924
Gm8066,5,137510253,137517501
Igsf3,3,101377083,101463059
1700095J03Rik,7,109438618,109444893
Gm12503,4,44092632,44109311
Eras,X,7924276,7928607
4930511M06Rik,18,57373455,57552397
Gm4823,15,3745892,3746875
Coro1b,19,4148619,4154035
Gm12504,4,44121893,44124123
Gbp8,5,105014150,105139540
Mhrt,14,54968678,54974349
Ranbp6,19,29808400,29812974
Gm14363,X,5399249,5402129
Vmn1r168,7,23540720,23541649
Gnb2,5,137528127,137533510
Gm37193,3,75698952,75699464
Phf11b,14,59320964,59341351
Vmn2r61,7,42260053,42300755
Gm11292,13,22026699,22031610
Gm37930,1,69770868,69772753
Vmn1r169,7,23577185,23578099
Myh7,14,54970688,54994634
Gm29133,3,75748197,75787653
Mycs,X,5466898,5469265
Olfr1436,19,12298183,12299130
Ahr,12,35497974,35535038
Cyhr1,15,76643395,76660117
Hist1h2ah,13,22035164,22035568
Vmn1r170,7,23606175,23607089
Rnf122,8,31111820,31131482
Dnase1l1,X,74273217,74282337
Pck1,2,173153048,173159273
Mrpl38,11,116131817,116138868
Vmn2r13,5,109156068,109192107
RP24-112A6.4,9,32348682,32361738
Col12a1,9,79598991,79718831
1700030N03Rik,19,3065711,3197714
Hist1h2bk,13,22035870,22036345
Ido2,8,24531892,24576333
Zfp558,9,18455575,18478268
Gm28489,Y,31464199,31467669
Srpx2,X,133908426,133932446
Hoxa5,6,52201754,52204587
Gm17946,1,113565446,113565983
Tapbpl,6,125223933,125231860
Vmn2r14,5,109215502,109224622
Asb14,14,26894557,26915258
Hist1h4i,13,22040636,22041362
Gm3687,5,63694054,63694513
Gm9954,5,63646170,63650894
A130010J15Rik,1,193168046,193177832
Hoxa3,6,52169062,52213336
Gbp4,5,105115767,105139586
Grp,18,65872820,65886579
Nwd2,5,63649102,63810546
Spaca3,11,80858365,80867814
Gm14366,X,5608572,5610867
Gm8473,5,109236544,109238428
Gm14375,X,5665372,5666226
Man1b1,2,25332338,25352212
4930447M23Rik,2,19344317,19351050
Adgre5,8,83723251,83741326
Gm26671,3,57612697,57625824
Gm7407,8,4039854,4040421
Nae1,8,104511028,104534637
Kcnk7,19,5704367,5707101
Vmn2r15,5,109286269,109297556
Gm5135,X,41923255,41923827
Gm37739,Y,12513577,12516809
Gm7553,1,83003482,83004907
Gm29430,6,52183110,52189925
Fbxo4,15,3965445,3979573
Iqub,6,24444865,24515067
Gm2309,X,35129015,35179028
Gm15050,6,52172881,52174059
Il33,19,29925114,29960718
Chchd5,2,129129700,129134134
Hoxa6,6,52206288,52208722
Gm44858,19,12314874,12315027
Zbp1,2,173206612,173218923
Mbd3l1,9,18478359,18485298
Prox2os,12,85086374,85088228
Gm18181,1,113582771,113583506
Gm28488,Y,31509423,31512658
Gm6423,6,124251531,124252464
Gm2318,X,35206437,35227650
Gm16589,8,4087658,4088575
Prox2,12,85086385,85106431
9330185C12Rik,1,113891385,113964134
Gm43971,6,124279485,124282592
Hoxa7,6,52214491,52221854
Gm4854,1,115219190,115219763
Gm6308,6,124297863,124298175
Vmn2r16,5,109330381,109364481
Traf3ip3,1,193175453,193201703
Vmn2r-ps58,7,42303086,42303327
Gm17916,1,115668988,115684624
Gm5594,7,42353705,42358002
Gm43437,3,57636883,57640837
Gm14457,X,8981822,8982982
Olfr1437,19,12319207,12325101
Gm14846,X,74278654,74278869
Hist1h2ag,13,22042460,22042944
Thrsp,7,97412938,97417730
Gm14374,X,5669067,5671026
Gm7171,5,109396330,109402092
Gm20887,Y,50954836,50955531
AI847159,2,129158666,129180667
1700052I22Rik,12,80923432,80924449
Hoxaas3,6,52175217,52215076
Gm38355,12,85100778,85102347
Gm9540,9,87394250,87394727
Hist1h2bj,13,22043214,22043676
Commd2,3,57644349,57651715
Gm14373,X,5699727,5701884
Olfr1438-ps1,19,12329422,12335910
Gm14026,2,129168700,129170488
Vmn2r17,5,109420013,109453387
Gm5706,1,182392543,182393535
Vmn1r-ps92,13,22057346,22057862
Gm36782,Y,39451243,39451740
C8b,4,104766317,104804548
Gm28308,6,52163359,52213339
Gm14029,2,129182482,129183947
Utp23,15,51877429,51884614
Gm14553,X,35294189,35348739
Gbp9,5,105077630,105139539
Gm37375,9,87498112,87498498
Hoxaas2,6,52165674,52169564
Gm4430,2,129196086,129197126
Hoxa4,6,52189671,52191753
Gm19028,1,27989910,27991782
Gm10517,1,182408264,182409021
Gm29015,14,54973029,54973359
A430078G23Rik,8,3353415,3390299
Gm12174,11,46727818,46728630
Hoxa2,6,52162417,52164831
Podxl,6,31519488,31563981
Gm14849,X,108060304,108065130
Gm37482,3,155094865,155097655
Gtf2h4,17,35667730,35673739
Gm38089,1,28569918,28571431
Lrriq3,3,155093434,155194280
Fthl17d,X,8985900,8986755
Pmepa1,2,173224458,173276533
Gm45143,7,36097378,36100518
Cebpd,16,15887286,15891031
Gm29839,Y,39504127,39504624
Vmn1r171,7,23631988,23633568
Greb1,12,16670615,16800886
Ccdc88a,11,29373658,29510808
Fam89b,19,5728087,5729653
Rpl17-ps9,7,36118274,36118828
Ighm,12,113418558,113422730
Col27a1,4,63214004,63334991
Pmepa1os,2,173276698,173278428
Gm43794,5,66443732,66444423
Elmod1,9,53911457,53975301
Olfr1439-ps1,19,12339738,12341130
4933430L12Rik,7,25219368,25220930
Gm43792,5,66429917,66432126
Amdhd2,17,24155833,24163766
9530002B09Rik,4,122689275,122705129
Gm43793,5,66345893,66347225
Dedd2,7,25199915,25220615
Slc20a1,2,129198764,129211616
Gm14642,2,173394566,173395720
Pask,1,93308770,93343482
Safb,17,56584825,56606294
Brd7,8,88331039,88362194
Tubgcp5,7,55794154,55831677
Gm16538,19,5727206,5731627
Apbb2,5,66298703,66618784
Cyp17a1,19,46667165,46672974
1700021F07Rik,2,173522586,173528501
Asb1,1,91540544,91559589
Sssca1,19,5728088,5731732
Gm12872,4,122730284,122734733
Apod,16,31296192,31314808
Zfp236,18,82593593,82692883
Eif2s3y,Y,1010543,1028847
Gm12873,4,122778154,122793749
Fam234a,17,26211822,26244223
Gm29811,3,132842202,132878596
Gm9403,3,132842396,132844576
Ankrd60,2,173568666,173578365
Cntnap5a,1,115684756,116587323
Gm29320,Y,50984439,50985053
Vmn1r-ps93,13,22078253,22078684
Gm9431,X,9009027,9010077
Gm28491,Y,31538338,31541570
Gm21849,Y,51021097,51021792
Gm12501,3,108239383,108239911
Gm42754,3,108226787,108240247
Gm14865,X,9030084,9030744
Gm37456,1,70571435,70577271
Spag16,1,69826970,70725132
Gm378,X,108405688,108406768
Gm11285,13,22083466,22083787
Fthl17e,X,9033493,9034333
Gm16558,18,25391801,25392332
Edem3,1,151755371,151822051
A730036I17Rik,2,129218969,129235604
AW554918,18,25168999,25467321
Vmn1r172,7,23658316,23660663
Uvssa,5,33378549,33419754
Lix1,17,17402672,17459387
Ctse,1,131638306,131675505
9830144P21Rik,2,129205958,129230579
Ppp4r1l-ps,2,173579320,173659640
Gm14452,X,5859717,5861540
Kctd14,7,97451323,97459557
Ndufa5,6,24518666,24528013
Gm4430,2,129197252,129199194
Gm9218,X,108446389,108449268
Crb2,2,37776249,37799103
Gm7867,1,93306694,93307239
RP24-257F22.2,9,118584853,118590195
Gm28535,1,93305964,93317309
Ighj4,12,113428514,113428567
Ppp1r7,1,93342854,93373489
Vmn1r173,7,23702342,23703313
Gm9211,7,36234292,36235266
Vmn1r188,13,22087878,22088804
Vmn1r-ps94,13,22092119,22092576
Gm29129,7,36568743,36573095
Slx4,16,3979105,4003770
Tbc1d4,14,101442360,101609191
Gm38285,7,36695438,36696359
Gm14819,X,35404183,35427093
Fastkd2,1,63730614,63754655
Gm10524,18,82692284,82694176
Fam173b,15,31601852,31621227
9330162012Rik,13,24937401,24941417
Gm43265,16,69796135,69800381
Gm7846,1,28580499,28580772
Sirt4,5,115478010,115484725
Braf,6,39603237,39725463
Aldh5a1,13,24907579,24937661
Gm16193,8,41053110,41064706
Tpgs2,18,25127223,25169007
Gm38272,1,70310512,70312911
Hapln4,8,70083457,70090862
Gm28580,1,70067968,70068055
Gm38340,7,36721846,36725853
Rtbdn,8,84946991,84956603
Gm37452,7,36710174,36711333
Gm13556,2,38285307,38287291
Vmn1r189,13,22101727,22102665
Gm37827,7,36733017,36734558
Gm44283,2,38015218,38019167
E230020A03Rik,7,36727177,36729562
Gm21736,Y,12564103,12564795
Tshz3,7,36698118,36773553
Vmn1r-ps95,13,22123289,22124191
Ublcp1,11,44454571,44470498
Bbs2,8,94067954,94098928
Dennd1a,2,37798991,38287390
Speer2,16,69856874,69863744
Gm21379,Y,12688110,12690064
Olfr1440,19,12387279,12401584
4932702P03Rik,13,24905593,24914272
Gm28490,Y,31602724,31634756
RP24-174O15.4,9,54046615,54046783
Tnfaip8l3,9,54023405,54068388
Vmn2r-ps59,7,42378458,42378592
Gm13580,2,60411525,60412579
Gm14503,X,9037157,9038320
Irf6,1,193153111,193172023
Gm13836,5,115491955,115492455
RP24-174O15.3,9,54043312,54047798
Ddx39,8,83715177,83726892
Gm10157,9,118837613,118837955
Aard,15,52040107,52045722
Kctd20,17,28951950,28969549
Vmn1r-ps97,13,22136424,22137026
Gm16295,9,118924873,118925777
Gm2415,9,118890075,118926455
Lmln,16,33062521,33127695
Fzd3,14,65201026,65262463
Gm42420,6,39585753,39596595
Gm29321,Y,51063067,51066306
Gm29495,Y,39589769,39614199
Vmn2r90,17,17703941,17734167
Gadd45g,13,51846678,51848468
Gm16272,6,39584092,39592784
Rab22a,2,173659760,173707343
Gm14451,X,5869686,5871506
Gm28371,Y,39988287,39988981
Il1rl2,1,40324610,40367562
Ndufb2,6,39592574,39603382
Kcnj1,9,32372493,32399197
1700010K24Rik,3,108248909,108256985
Gm14448,X,5885743,5885952
Gm28595,Y,40104656,40112547
Ctdspl,9,118926453,119043998
Gm6420,1,23255685,23256407
Gm14450,X,5984772,5985011
