Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
RPS3AP3,20,37021743,37021984
RP11-861L17.3,18,68899781,68902255
IGHVIII-67-2,14,106687113,106687200
RP11-1280N14.3,CHR_HSCHR5_2_CTG1_1,70249980,70275822
RP11-345F18.1,4,55819819,55837487
IGHVII-67-1,14,106686517,106686562
SERPINA10,14,94280455,94293271
LINC01117,2,176637710,176655958
ALS2CL,3,46668997,46693704
SNRPEP9,X,24513450,24513687
RP11-324L17.1,2,176611437,176612249
RP11-719C20.1,15,98466840,98467412
RP11-586K12.10,16,32663925,32666533
CAPZA3,12,18738101,18739187
SOWAHB,4,76894928,76898147
RP11-666A1.4,1,144472535,144474790
HORMAD1,1,150698060,150720888
LINC02001,17,35568109,35574843
RP11-861L17.4,18,68908048,68908599
FAM117B,2,202635188,202769757
PRMT8,12,3381349,3593973
C9orf129,9,93318199,93346414
AY269186.2,3,53348,54346
CTD-2011G17.1,5,29795938,29796268
XXbac-BPG308K3.5,CHR_HSCHR6_MHC_MCF_CTG1,28837874,28839011
COL16A1,1,31652247,31704319
RP1-229K20.5,6,41269875,41270239
TLDC2,20,36876121,36894235
SFT2D3,2,127701508,127705242
LINC00388,13,18610298,18611675
LONRF2P2,13,18609132,18609702
COX6CP14,3,49758483,49758656
NEMF,14,49782083,49853203
CTD-2207P18.2,14,74614693,74616647
SMN1,CHR_HSCHR5_1_CTG1_1,70268827,70296783
AC090960.1,3,17333126,17333431
MZT2A,2,131464900,131492743
IGHV3-65,CHR_HSCHR14_3_CTG1,106690773,106691213
RP11-14N7.2,1,144227030,144250288
OR2I1P,CHR_HSCHR6_MHC_APD_CTG1,29553320,29554267
GNAZ,22,23070361,23125037
IGLC7,22,22922594,22923034
AP000361.2,22,22988263,22988581
PRH2,CHR_HSCHR12_3_CTG2,10929236,10932341
TAS2R30,CHR_HSCHR12_3_CTG2,11129613,11130572
TAS2R46,CHR_HSCHR12_3_CTG2,11063523,11064452
WDR31,9,113313222,113340298
RP1-257I20.14,CHR_HSCHR22_2_CTG1,42089630,42090028
RP11-314A15.2,X,65821255,65822249
CENPK,5,65517766,65563171
RPL7AP7,CHR_HSCHR6_MHC_SSTO_CTG1,29800695,29801491
RP11-32P22.1,2,15397435,15397782
RP11-244H3.4,1,34981533,35031741
PFKFB3,10,6144934,6254644
BX255923.3,9,41100794,41106229
ACRBP,12,6638075,6647460
RP11-58A12.3,9,41073710,41076392
RP11-65N13.6,9,125263845,125264090
LPAR5,12,6618835,6636447
RP4-621F18.2,1,85482281,85578250
IGLJ5,22,22914237,22914308
RP11-265G8.3,10,19491072,19491299
AC079584.3,2,143601517,143608759
RP11-196D18.2,7,63057453,63060084
RP11-536C10.5,14,18588274,18588315
RP11-196D18.1,7,63044827,63054431
RP5-839B4.8,20,9986088,10007116
LINC00307,21,30209151,30211783
TAS2R8,CHR_HSCHR12_3_CTG2,10806051,10807293
HIGD1AP15,20,10334419,10334698
CLDN17,21,30165564,30166756
BNIP3P6,14,18418775,18419273
AIFM1P1,10,18735745,18738631
KIR3DS1,CHR_HSCHR19LRC_COX2_CTG3_1,54459987,54474463
CHST3,10,71964365,72013564
MYL12A,18,3247481,3256236
RP11-341D18.8,13,18206570,18207466
RP11-974F13.1,CHR_HSCHR5_2_CTG1_1,69767062,69767356
FCAR,CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1,54860626,54876850
ABCB11,CHR_HSCHR2_1_CTG7_2,168939927,168953422
FAM138E,15,101954885,101956412
C21orf62-AS1,CHR_HSCHR21_3_CTG1_1,32772100,32798969
AP000280.66,CHR_HSCHR21_3_CTG1_1,32790673,32791504
CREB3,9,35732335,35737004
IGHV3-33-2,14,106369107,106369546
RP11-720L3.1,18,13710249,13710484
HLA-N,CHR_HSCHR6_MHC_APD_CTG1,30415319,30415453
RP11-168L7.1,14,101332516,101334331
CYP21A2,CHR_HSCHR6_MHC_DBB_CTG1,32014113,32017485
IGHVII-33-1,14,106367385,106367664
RP11-196B3.4,18,79515798,79516057
IGHVIII-51-1,CHR_HSCHR14_3_CTG1,106608187,106608488
TMEM87A,15,42210452,42273663
DPYSL5,2,26847747,26950351
RP11-8L8.2,14,101120856,101123542
AC005943.2,19,1578339,1605445
IGHVII-49-1,CHR_HSCHR14_3_CTG1,106589056,106589279
RPL7AP73,13,22803296,22803648
AC007967.3,Y,8906224,8916073
CCDC158,4,76312997,76421868
SNX5P1,4,76344550,76345590
PTCSC3,14,36136108,36176468
LINC00609,14,36070427,36165288
IGHVII-46-1,CHR_HSCHR14_3_CTG1,106540499,106540535
C6orf214,CHR_HSCHR6_MHC_DBB_CTG1,30789330,30821330
OR2U2P,CHR_HSCHR6_MHC_MANN_CTG1,29268443,29269402
OR2G1P,CHR_HSCHR6_MHC_MANN_CTG1,29229234,29230164
OR2U1P,CHR_HSCHR6_MHC_MANN_CTG1,29262684,29264060
LINC00345,13,52484161,52484680
KIR2DL4,CHR_HSCHR19LRC_COX2_CTG3_1,54446939,54458015
RP11-638L3.1,18,67516546,67899619
RP11-141M1.4,13,33336216,33336716
RP11-29O13.1,18,67602692,67603022
STARD13-IT1,13,33158587,33164409
CTD-2541J13.2,18,67506589,67514030
OR14J1,CHR_HSCHR6_MHC_APD_CTG1,29306763,29307728
RP11-439L8.2,1,31487589,31488930
FBLN2,3,13549131,13638422
LINC01039,13,99577112,99580368
LINC01799,2,66904436,66971462
RPL31P9,18,67137611,67137751
HTATSF1P1,CHR_HSCHR6_MHC_MANN_CTG1,33391691,33393582
AC009474.2,2,66881087,66881222
AP000705.8,CHR_HSCHR21_2_CTG1_1,22134698,22136083
XXbac-BCX196D17.5,CHR_HSCHR6_MHC_APD_CTG1,29124236,29128934
LINC00308,CHR_HSCHR21_2_CTG1_1,22109451,22116528
KB-226F1.5,CHR_HSCHR22_1_CTG7,24024565,24028697
OR2J3,CHR_HSCHR6_MHC_APD_CTG1,29111918,29112853
IGHV3-41,CHR_HSCHR14_3_CTG1,106467814,106468265
FAM21FP,10,45706431,45727231
GPN1,2,27628247,27651508
IGHVII-40-1,CHR_HSCHR14_3_CTG1,106465631,106465688
TUBB8,10,46892,74163
AC009474.1,2,66820684,66822570
RP11-158I13.2,2,27583046,27635174
OR2J1,CHR_HSCHR6_MHC_APD_CTG1,29100980,29101918
SUPT7L,2,27650812,27663840
RP11-1084I9.2,15,26050538,26052276
FAM197Y10,Y,21465384,21467163
TTTY11,Y,8783310,8817382
RP11-566K19.8,15,22371736,22373570
PRPF19P1,18,66068750,66069647
ZNF311,CHR_HSCHR6_MHC_APD_CTG1,28994816,29005348
VN1R7P,21,10357400,10358620
CDH12P2,CHR_HSCHR5_1_CTG1_1,70005540,70005841
HCG16,CHR_HSCHR6_MHC_APD_CTG1,28986792,28988567
RP11-566K19.11,15,22360639,22360918
HCG15,CHR_HSCHR6_MHC_APD_CTG1,28986195,28987476
RP11-603B24.1,15,22278971,22282872
AP000223.42,21,25582770,25583326
EIF3FP1,21,10330732,10331537
MTND2P3,Y,8372241,8372710
TAS2R20,CHR_HSCHR12_2_CTG2,10996495,10997875
RP11-555K2.2,21,9810501,9810848
MTCYBP1,Y,8364032,8365150
PRR4,CHR_HSCHR12_2_CTG2,10824960,11203561
bP-21264C1.1,21,9369285,9376645
RBMY2KP,Y,8264449,8277188
bP-21264C1.2,21,9325013,9368775
IL17RE,3,9902612,9916402
AC023449.2,15,25580969,25581122
AC092635.1,2,13537673,13609168
AC016730.1,2,13723048,13758152
GAPDHP17,Y,20861337,20862337
AP000351.13,CHR_HSCHR22_1_CTG7,24008537,24009893
AB019438.66,CHR_HSCHR14_3_CTG1,106461096,106461236
IGHV7-40,CHR_HSCHR14_3_CTG1,106450046,106450244
IGHV4-39,CHR_HSCHR14_3_CTG1,106446390,106446899
USP6NL,10,11453946,11611754
RP11-138I18.1,10,11611305,11612227
RP11-432I13.6,CHR_HSCHR10_1_CTG2,45187292,45198323
ANKRD30BP3,CHR_HSCHR10_1_CTG2,45176724,45176925
FGF9,13,21671383,21704498
USP12,13,27066142,27171896
RPS7P10,13,21628413,21629015
IGHV4-34,CHR_HSCHR14_3_CTG1,106398342,106398826
IGHV3-33-2,CHR_HSCHR14_3_CTG1,106393788,106394227
AP000235.3,21,25055535,25069906
AP001342.1,21,25031005,25031529
BNIP3P24,CHR_HSCHR19_1_CTG2,20784596,20785152
TAS2R8,CHR_HSCHR12_2_CTG2,10806051,10807293
AP000470.2,21,24155170,24188342
RP11-748L13.2,CHR_HSCHR10_1_CTG1,27378657,27388552
RP11-544P1.3,10,11395808,11398792
CH17-60O17.5,CHR_HSCHR14_3_CTG1,106373990,106374420
CH17-60O17.4,CHR_HSCHR14_3_CTG1,106369091,106369528
IGHV3-33,CHR_HSCHR14_3_CTG1,106359784,106360304
TAS2R7,CHR_HSCHR12_2_CTG2,10801532,10802627
IGHV3-29,CHR_HSCHR14_3_CTG1,106356982,106357409
KB-226F1.2,CHR_HSCHR22_1_CTG7,23969213,23969875
DDTL,CHR_HSCHR22_1_CTG7,23966902,23972534
RBM17,10,6088987,6117457
IGHVII-30-1,CHR_HSCHR14_3_CTG1,106343495,106343726
bP-2171C21.5,21,9088188,9088391
LINC00437,13,38533343,38545299
PSMB1,CHR_HSCHR6_1_CTG5,170544440,170544544
RP13-270P17.2,18,3190397,3247277
LILRP1,CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1,54698377,54700905
bP-2171C21.4,21,9026821,9027329
ZNF736P9Y,Y,8068896,8070723
AC096559.2,2,12598987,12605145
RPS21P8,13,26977543,26977789
RP11-545M8.4,13,26965967,26991996
FGFR1OP2P1,13,26905362,26905861
RPL32P23,10,6071514,6071918
KLF4P1,9,4803788,4804972
KIR3DL3,CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1,54724485,54736504
AP000479.1,CHR_HG151_NOVEL_TEST,56859642,56882325
MIR3681HG,2,11848622,12578348
ZNF736P7Y,Y,7990987,7991806
OR5G3,CHR_HG151_NOVEL_TEST,56830655,56831590
OR5G5P,CHR_HG151_NOVEL_TEST,56812930,56831496
XXbac-BPG308K3.5,CHR_HSCHR6_MHC_APD_CTG1,28837861,28838998
OR9G4,CHR_HG151_NOVEL_TEST,56753901,56754885
PDS5B,13,32586427,32778019
OR8U1,CHR_HG142_HG150_NOVEL_TEST,56383230,56384159
OR8U8,CHR_HG142_HG150_NOVEL_TEST,56375625,56376584
VARS,CHR_HSCHR6_MHC_APD_CTG1,31844536,31862971
CH17-132F21.4,CHR_HSCHR2_1_CTG7,90309230,90309333
OR8K1,CHR_HG142_HG150_NOVEL_TEST,56346039,56346998
AC018696.1,CHR_HSCHR2_1_CTG7,90359653,90359876
CH17-60O17.1,CHR_HSCHR14_3_CTG1,106331887,106332323
FNTAP2,13,21530690,21531323
OR8K2P,CHR_HG142_HG150_NOVEL_TEST,56335142,56336068
CH17-132F21.5,CHR_HSCHR2_1_CTG7,90365762,90367722
FAM8A2P,CHR_HG142_HG150_NOVEL_TEST,56331347,56332488
RP11-108F14.1,Y,7905536,7907303
OR8K3,CHR_HG142_HG150_NOVEL_TEST,56318307,56319245
OR8I1P,CHR_HG142_HG150_NOVEL_TEST,56296541,56297471
MTCO1P1,21,8845566,8846646
MICU2,13,21492691,21604214
KIR2DL2,CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1,54754600,54768961
OR8H1,CHR_HG142_HG150_NOVEL_TEST,56290053,56291090
SNX18P10,21,8801362,8801880
ZNF92P1Y,Y,7853686,7854876
OR5T1,CHR_HG142_HG150_NOVEL_TEST,56275639,56276619
LINC01666,21,8759077,8761335
OR5T3,CHR_HG142_HG150_NOVEL_TEST,56252200,56253222
AP000350.8,CHR_HSCHR22_1_CTG7,23949918,23954042
RP11-109F19.1,Y,7845485,7846454
IGHV4-28,CHR_HSCHR14_3_CTG1,106325025,106325531
bP-2168N6.3,21,8701461,8701562
OR5T2,CHR_HG142_HG150_NOVEL_TEST,56232106,56233185
RP11-1305N21.1,CHR_HSCHR5_2_CTG1_1,69659867,69661133
bP-2168N6.1,21,8680538,8680934
AP000350.7,CHR_HSCHR22_1_CTG7,23939998,23942798
OR8J2,CHR_HG142_HG150_NOVEL_TEST,56210873,56211820
IGHV7-27,CHR_HSCHR14_3_CTG1,106318594,106319007
RPSAP68,21,8603547,8603984
IGHVII-26-2,CHR_HSCHR14_3_CTG1,106315422,106315746
CH507-513H4.3,21,8437629,8438551
AP000350.6,CHR_HSCHR22_1_CTG7,23926900,23929574
RP11-444K7.8,CHR_HG142_HG150_NOVEL_TEST,56205125,56205625
IGHVIII-26-1,CHR_HSCHR14_3_CTG1,106310188,106310437
RP11-982M15.2,14,104769349,104770271
MYLPF,16,30370934,30377991
RP11-497E19.1,14,85524432,85529988
UBB,17,16380798,16382745
KIR2DL5B,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54771241,54780725
AC008072.1,2,224294930,224295753
CTD-2291D10.3,19,23068473,23071476
HLA-DQA1,6,32628179,32647062
SEC61G,7,54752250,54759974
ATP6V0B,1,43974487,43978295
RP11-1006G14.2,15,72608481,72636919
HNRNPA1P35,2,201063089,201064051
RPL31P35,7,54656358,54656734
MBD3L3,19,7056209,7058640
TRBV6-5,CHR_HSCHR7_2_CTG6,142472647,142473148
GOLGA6L9,CHR_HSCHR15_5_CTG8,82509086,82518216
RP11-1437A8.2,16,33154352,33154475
SLC9A2,2,102619707,102711318
ADGRF1,6,46997703,47042363
RP11-863P13.5,16,88079161,88087383
RP4-673D20.5,20,1676662,1676907
LINC00333,13,84562364,84563236
UQCRHP4,3,70140217,70140488
MTND5P3,13,84521725,84523915
RPL7AP14,20,37444733,37445534
SOS2,14,50117120,50231558
LIPA,10,89213569,89414557
AC016694.2,Y,22670616,22672859
RPL23AP30,2,201066691,201067191
PSMC1P10,2,17385091,17386417
HLA-DQA1,CHR_HSCHR6_MHC_MCF_CTG1,32663658,32684403
VENTXP2,13,83907301,83907781
AC016909.1,2,132915557,132931494
VN1R64P,16,31546805,31547737
RP11-752L20.3,4,147487971,147496062
APOC2,19,44945982,44949565
ZNF74,22,20394115,20408461
RP4-737E23.7,20,23180176,23187544
FAM201B,2,132352722,132353318
CTD-2267D19.7,17,40380666,40381838
RP11-209E8.1,15,53116365,53129698
ZNF723P,19,22832201,22859422
ZNF99,19,22752183,22784107
CTB-159G17.3,19,22770937,22771191
PPP1R26P1,13,48316863,48320475
TRBV5-1,CHR_HSCHR7_2_CTG6,142320696,142321563
RP11-15D14.1,11,13478333,13479037
RP11-488P3.1,1,93752924,93775444
AC007040.11,2,70939318,70995336
OR4K7P,18,14570844,14571788
RP11-567M16.6,18,79677287,79679358
PPP6R2P1,21,14007134,14014880
EGF,4,109912884,110012266
TPRN,9,137191617,137204193
MIMT1,19,56840902,56848556
SIKE1,1,114769479,114780685
AC024937.2,3,196044695,196045254
RP11-544A12.4,9,131132852,131167505
SAR1P1,CHR_HSCHR6_MHC_COX_CTG1,29073178,29073773
ZBED2,3,111592900,111595443
OR4N1P,14,19796345,19797260
OR10J3,1,159313670,159314659
RP11-347C12.11,16,30359825,30360336
DIAPH3,13,59665583,60163987
LPCAT1,CHR_HSCHR5_3_CTG1,1460716,1505839
HDGFL1,6,22569493,22571666
AKIRIN1P2,X,68132868,68133437
BOLA3P2,19,9019344,9019984
RP11-471L13.3,17,12115547,12115885
MUC21,CHR_HSCHR6_MHC_APD_CTG1,31047625,31053805
NR2F1,5,93583337,93594615
MRPL34,19,17292609,17306843
ENAM,4,70628744,70686816
RP11-295P22.2,Y,11473727,11474237
RP11-307F22.2,6,64728837,64733837
AC069277.2,3,6490479,6736129
AC007557.4,2,216854389,216855132
RP11-275N1.3,10,21452197,21452412
RP11-274J15.2,3,114103249,114103628
NECTIN3,3,111070071,111275563
RP11-480A16.1,3,195949188,195952695
LY6G5C,CHR_HSCHR6_MHC_MANN_CTG1,31716138,31723494
RP3-407E4.4,6,63440766,63443580
AMBN,4,70592256,70607288
NDUFV2,18,9102630,9134345
POLR3D,8,22245104,22254600
MTND3P4,9,101793454,101793756
TUBB,CHR_HSCHR6_MHC_MANN_CTG1,30764859,30770084
FGFR3P,CHR_HSCHR6_MHC_COX_CTG1,31367866,31368468
HOXC-AS1,12,53999022,54000010
DHFRP2,CHR_HSCHR6_MHC_COX_CTG1,31356825,31357371
HOXC10,12,53985065,53990279
POU3F1,1,38044611,38046794
LAMP2,X,120427827,120469365
AC012531.25,12,54019910,54022589
HOXC4,12,54016931,54056030
RP11-276M12.1,15,81953303,81995666
FAM25BP,10,46369113,46373563
AC006129.2,CHR_HSCHR19_3_CTG3_1,41557862,41563804
RP11-433O3.1,4,181522666,181523001
ZNF970P,12,37575587,37576384
HCG4,CHR_HSCHR6_MHC_DBB_CTG1,29789145,29790142
GSC2,22,19148576,19150283
DYNLL1P1,14,81246295,81246563
TSPY13P,Y,9905595,9908139
DNAJC19P2,CHR_HSCHR19_3_CTG3_1,41613683,41614013
ESRRAP1,13,19560013,19561269
RP11-2B6.3,9,94166289,94200627
LINC00543,13,27953526,27955370
RP11-553A10.1,3,110888384,110893476
CD207,2,70830214,70835822
RP5-961K14.1,X,95973328,95974315
RP4-809F18.2,CHR_HSCHR12_4_CTG2_1,126364076,126364938
SIGLEC6,19,51519525,51531856
AC087430.1,3,1008135,1012934
KATNAL2,18,46917492,47102243
AC090044.2,3,857124,858091
NEBL-AS1,10,21174014,21175048
CTBP2P4,5,98576341,98577260
ACKR1,1,159203307,159206500
MTCO1P24,5,98410235,98411792
RPS7P13,X,95679130,95679627
MFSD10,4,2930561,2934859
RP11-661G16.1,14,90675118,90676294
RPSAP32,3,617789,618314
CHRNE,17,4897774,4903074
PYDC2,3,191461163,191461456
RP4-555D20.1,3,44115818,44117487
RP4-555D20.2,3,44117299,44122365
RP11-703I16.1,18,12031178,12032181
AC128709.4,CHR_HSCHR3_2_CTG3,197450327,197456654
ST13P14,3,50876712,50877657
CH17-64J14.5,CHR_HSCHR5_1_CTG1_1,70448301,70556133
GAPDH,12,6533927,6538374
LSM3,3,14178358,14201119
POLK,5,75511756,75601144
RP11-804H8.5,3,50685551,50685791
CCNB1IP1P3,X,94776739,94777567
CISD2,4,102868978,102889242
PAICSP7,X,94636663,94639570
RP11-465I4.3,18,69469517,69471736
RP11-161N3.3,X,54147372,54147659
RNF20,9,101533851,101563344
NCR1,CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1,54906192,54910107
CTD-2545G14.2,17,7058934,7059204
RPL7P55,X,93573834,93574579
RNASE6,14,20781051,20782467
CTC-450M9.1,19,38108500,38109533
ZNF302,19,34677639,34686397
RP11-544M22.1,1,160932465,160949922
RP11-521D12.2,2,9674023,9708413
RPS16P5,6,53336943,53337346
RP11-126H7.4,10,77866875,77869610
IGHV3OR16-10,16,32995048,32995505
RP11-4C20.3,10,127929376,127934517
RP11-4C20.4,10,127934698,127936167
RP11-16P6.1,2,222566899,222569719
IGHV3OR16-8,16,33009175,33009620
LINC00458,13,54115783,54132866
GPANK1,CHR_HSCHR6_MHC_MCF_CTG1,31737508,31742562
NCAPD2P1,7,34750253,34752053
C16orf78,16,49373823,49399431
XXbac-BPG154L12.5,6,32255284,32350039
CTD-2342J14.6,19,11368123,11374935
KRTAP16-1,CHR_HSCHR17_1_CTG4,41307700,41309253
SSU72,1,1541673,1574869
RP11-491F9.5,16,49337167,49338993
RP11-491F9.2,16,49297143,49299762
GABPAP,7,63893286,63894641
RP11-428P16.3,10,77738246,77739015
CFI,4,109740694,109802179
KTN1,14,55559072,55701526
NPM1P4,13,27696393,27697204
RP11-337N6.3,2,177317715,177318471
SIGLEC31P,19,56589495,56590281
TMEM41B,11,9280654,9314780
RP11-1030E3.2,18,50318420,50319024
PKN1,19,14433053,14471867
RP5-855D21.1,8,234347,234887
RP11-481E4.2,16,82495993,82510919
AC005498.3,19,56536156,56538575
OR11A1,CHR_HSCHR6_MHC_MCF_CTG1,29425279,29456852
KRT8P40,2,177197985,177198547
RP5-905H7.4,7,63263065,63263456
RP11-452L6.6,16,31470204,31472108
RPS6P15,10,111498191,111498941
RP11-279N8.1,13,47825330,47835956
ZDHHC8P1,22,23390606,23402726
OR4F21,8,166049,167043
RP11-432I5.6,16,71655027,71664212
RORA-AS1,15,60479178,60630637
CYCSP38,15,60558080,60558401
CTD-2501E16.2,15,60529973,60545159
RP1-290I10.3,6,10423140,10426176
RP11-410N8.1,20,32581963,32593900
UBA7,3,49805207,49813946
AGBL1,15,86079973,87029052
AKR1C4,10,5195462,5218949
CNMD,13,52703264,52739812
RPL7AP52,10,94882554,94883343
RP11-471B22.3,14,90383365,90387973
STK17B,2,196133566,196176503
RP11-85G18.6,10,27243130,27250804
AC005578.3,19,4246339,4247358
DGCR12,22,19061041,19061843
FTCD-AS1,CHR_HSCHR21_5_CTG2,46151614,46152647
CCDC94,19,4247079,4269090
ZNF573,19,37735833,37817300
GPR53P,CHR_HSCHR6_MHC_MANN_CTG1,29537242,29538325
CTD-2528L19.6,19,37728586,37730643
WBP1LP3,8,155274,155481
DENND5A,11,9138825,9265390
ROCK1P1,18,109065,122219
DHX16,CHR_HSCHR6_MHC_MANN_CTG1,30697750,30717697
RP11-566K19.6,15,22757857,22778741
MAGEF1,3,184710367,184712002
MED15P1,14,18912805,18916642
AP005530.2,18,14195,16898
MAB21L2,4,150581922,150584693
SLC25A21-AS1,14,37171888,37173811
RP11-138E16.1,15,48938236,48948031
KRTAP19-11P,21,30537278,30537381
MROH6,CHR_HSCHR8_3_CTG7,143566187,143572971
SIGLEC10,19,51410021,51417803
TSPY7P,Y,9378122,9380871
C1D,2,68041130,68110948
SYT9,11,7238778,7469042
RPL29P3,14,36577543,36578005
CTB-187M2.2,17,19411786,19413118
ABHD17AP7,16,32726615,32729537
RP11-586K12.7,16,32715931,32716056
EGFL6,X,13569605,13633575
MYL6P3,10,65169438,65169869
RHOXF2,X,120158561,120165630
QARS,3,49095932,49105135
SERF1A,5,70900665,70918530
AC010980.2,2,222318275,222352989
PRDM2,1,13700198,13825079
RP11-408E1.1,1,163422405,163423164
RP5-849H19.3,1,62607766,62609584
NDUFA6,CHR_HSCHR22_3_CTG1,42085525,42090955
AC012594.1,2,170332085,170408564
VMO1,17,4785285,4786433
AC007277.3,2,170640374,170695374
FAM200B,4,15681662,15705565
SPDYE16,CHR_HSCHR7_2_CTG4_4,76519194,76529340
RP11-140H17.1,16,69463844,69466264
FOSL1P1,4,128155389,128156204
POM121L14P,6,57937458,57939015
AP2B1,17,35578046,35726409
NDUFA12P1,13,100027769,100028174
JTB,1,153974269,153977688
LINC00554,13,99994899,99997909
RP11-136K7.3,CHR_HSCHR5_2_CTG1_1,70587997,70590219
CTC-261N6.2,5,86380660,86381426
FAM212A,3,49803254,49805030
SFN,1,26863138,26864457
MAMSTR,19,48712742,48719721
AC006011.4,2,127846736,127847084
BUB1,2,110637698,110678114
LINC01203,X,13335241,13373634
SERPINA6,14,94304248,94323394
ADH5,4,99070978,99088801
GALNT6,12,51351247,51392867
AC017048.2,2,176524879,176531683
SPEF1,20,3777504,3781448
LARP1B,4,128061268,128222931
SLC8A1-AS1,2,39786453,40255209
PBX2P1,3,143176327,143177617
CACFD1,9,133459965,133470848
MTND4P19,10,94774156,94774633
CTC-507E2.2,17,35596904,35597128
WNK2,9,93184916,93320572
GSTM5,1,109712255,109775428
CLIC4,1,24745357,24844324
MTCO2P17,2,202614853,202615529
PRELID3BP7,5,42972624,42973092
GRIN1,9,137138390,137168762
DCST1-AS1,1,155045191,155046118
CH17-125A10.1,1,144276484,144305180
RP1-232L24.2,6,79354443,79354713
RP11-320G10.1,3,18013226,18041603
PRELID3BP4,5,42897262,42897832
RP3-508D13.1,6,79326568,79327207
RAD23BP1,3,18538673,18539899
PDCL3P3,3,17877455,17878169
IL16,15,81159575,81314058
CTD-2325A15.3,5,42892319,42892817
IGHV3-66,CHR_HSCHR14_3_CTG1,106699696,106700225
LINC02064,5,29380296,29395981
CH17-248H7.3,1,144179777,144211729
BNIP3P7,13,18491904,18492419
RP11-761I4.4,15,81303215,81309391
LINC02109,5,29143503,29217115
PRR4,CHR_HSCHR12_3_CTG2,10845849,11167847
GNAQP1,2,131423801,131424867
RP11-1292F20.1,16,32278866,32279115
TAS2R20,CHR_HSCHR12_3_CTG2,10996484,10997864
LRRC56,11,537527,554916
CYP2D6,CHR_HSCHR22_2_CTG1,42126481,42130888
RP11-79M19.2,10,119330233,119336182
RP4-791M13.5,1,149006309,149009527
NLRP1,17,5499427,5619424
RP11-543P15.1,12,3211663,3211917
OR10A4,11,6876625,6877619
IGLC4,22,22910828,22911075
TSPAN9-IT1,12,3149797,3151476
RP11-358N2.2,20,32355053,32355734
RP11-570L15.2,2,143295586,143572105
SATB1,3,18345387,18445588
AC092652.1,2,143640756,143656179
RP11-354E11.2,10,19710328,19728550
SEC24B,4,109433772,109540896
SEPT14P1,7,63117501,63154934
XXbac-BPG13B8.10,CHR_HSCHR6_MHC_APD_CTG1,29497578,29510624
RP11-420K14.6,CHR_HSCHR19_2_CTG2,21719001,21719670
DEAF1,CHR_HSCHR11_1_CTG8,646472,677067
FAM72C,1,143955364,143971965
RP11-536C10.2,14,18560047,18560191
RP11-1264N5.1,CHR_HSCHR5_2_CTG1_1,70064043,70134190
USP9YP4,Y,9189629,9204611
ARHGDIG,16,268727,283010
CTD-2269E23.4,5,28927298,28927459
RP4-758J18.13,1,1409096,1410618
AKR1B10P2,18,68455951,68456877
ITGAD,16,31393312,31426505
RP11-482M8.1,16,87492555,87515635
LINC00851,20,18379049,18381484
RP11-157F20.1,3,57134142,57134723
STOML3,13,38965925,38991066
KIR3DL2,CHR_HSCHR19LRC_COX2_CTG3_1,54521328,54538122
HRAS,11,532242,537287
RP11-150D20.5,10,72053294,72054037
RP11-526H11.1,18,68102116,68114377
LINC01912,18,68258339,68264827
TPRKB,2,73729104,73737400
MROH7-TTC4,1,54641786,54742308
UBA2,19,34428352,34471251
PBX2,6,32184741,32190186
KIR2DL5A,CHR_HSCHR19LRC_COX2_CTG3_1,54476583,54485924
RP11-253E3.1,12,3071532,3072145
HCG19P,CHR_HSCHR6_MHC_APD_CTG1,30423182,30423815
RPL13AP6,10,110936622,110937233
RP11-341D18.2,13,18174010,18178465
RP11-124L9.2,CHR_HSCHR5_2_CTG1_1,69755077,69848798
AC010641.1,19,397589,399173
RP11-846E15.3,CHR_HSCHR5_2_CTG1_1,69761566,69762272
LINC00929,15,26115813,26133037
KRBOX4,X,46446857,46497422
RP11-75A9.3,X,46454097,46457199
IGHV3-36,14,106392774,106393231
PRX,19,40393768,40413366
IGHV3-35,14,106389392,106389858
NFATC1,18,79395856,79529325
APMAP,20,24962925,24992979
IGHV7-34-1,14,106377300,106377733
RP11-87H9.5,9,41061290,41062917
KB-1125A3.14,CHR_HSCHR22_1_CTG7,24052465,24059615
C21orf62,CHR_HSCHR21_3_CTG1_1,32793564,32813728
ALMS1P1,2,73644919,73685576
PCSK1N,X,48831094,48835633
LINC00524,14,101405987,101407922
RP11-124N19.3,13,22918591,22924602
BASP1P1,13,22897341,22898005
NUS1P2,13,22915651,22916523
RPS29P11,4,25678850,25679020
RBMY1HP,Y,21493519,21501968
IGHV3-50,CHR_HSCHR14_3_CTG1,106590798,106591236
FTH1P7,13,22696023,22696574
RP11-109P14.10,1,37860697,37861580
AC005363.9,16,1963745,1964095
IGHV3-47,CHR_HSCHR14_3_CTG1,106543263,106543708
APOO,X,23833353,23907934
HLA-DPA1,CHR_HSCHR6_MHC_APD_CTG1,33103656,33119850
GBA2,9,35736866,35749228
RPL9P7,X,23836742,23837321
SLC2AXP1,2,95196449,95197357
RP11-78J21.6,13,52497097,52500195
